Number,NCBI Accession Number,Gene type
1,KM409247.1,H1N1
2,CY249795.1,H1N1
3,JN809163.1,H1N1
4,MK557230.1,H1N1
5,MG982609.1,H1N1
6,L11126.1,H2N2
7,KP098400.1,H2N2
8,CY117027.1,H2N2
9,KM885174.1,H2N2
10,CY020549.1,H2N2
11,CY105638.1,H3N2
12,KT839427.1,H3N2
13,KC882695.1,H3N2
14,CY163712.1,H3N2
15,CY067977.1,H3N2
16,KY171504.1,H5N1
17,CY126184.1,H5N1
18,FJ492879.1,H5N1
19,KM821622.1,H5N1
20,JN807989.1,H5N1
21,EU030984.1,H7N3
22,CY203926.1,H7N3
23,CY133177.1,H7N3
24,KU289927.1,H7N3
25,GU051805.1,H7N3
26,CY235363.1,H7N9
27,CY192939.1,H7N9
28,CY192179.1,H7N9
29,CY191691.1,H7N9
30,MH266623.1,H7N9
