Num,Header,Shortcut,Subgenus,Genus,Genus2
1,"LC710779.1 Avian coronavirus Beaudette-FUB RNA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
2,"MZ368698.1 Avian coronavirus strain Beaudette, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
3,MK071267.1 Avian coronavirus AvCoV/Gallus gallus//H120 complete genome,Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
4,"MG913343.1 Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 22/2013, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
5,"MG913342.1 Avian coronavirus isolate AvCoV/Gallus gallus/Brazil/sample 38/2013 GI-11, complete genome, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
6,"MH021175.1 Avian coronavirus strain D274, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
7,"KY626045.1 Avian coronavirus strain Ma5, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
8,"KX258195.1 Avian coronavirus isolate 23/2013, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
9,"MT984602.1 Avian coronavirus strain D20222/2/3/2012/RO, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
10,"MT984601.1 Avian coronavirus strain D4000/3/2017/RO, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
11,"MT984600.1 Avian coronavirus strain D2353/2013/PL, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
12,"MT984599.1 Avian coronavirus strain D2220/2/2013/GR, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
13,"MT984598.1 Avian coronavirus strain D2002/2/2012/PT, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
14,"MT984597.1 Avian coronavirus strain D1944/1/3/2012/RO, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
15,"MT984596.1 Avian coronavirus strain D1871/1/1/2012/HU, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
16,"MT984594.1 Avian coronavirus strain D1760/2/2/2011/GR, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
17,"MT984593.1 Avian coronavirus strain D1719/1/2011/GR, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
18,"MT984592.1 Avian coronavirus strain D1656/2/2011/BY, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
19,"MT984590.1 Avian coronavirus strain D1623/1/1/2011/HU, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
20,"MT984589.1 Avian coronavirus strain D1617/3/2011/UA, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
21,"MT984588.1 Avian coronavirus strain D1561/8/2011/HU, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
22,"MT984587.1 Avian coronavirus strain D1530/4/1/2010/RO, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
23,"MT984586.1 Avian coronavirus strain D1530/2/3/2010/RO, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
24,"MT984585.1 Avian coronavirus strain D1478/2/2/2010/GR, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
25,"MT984584.1 Avian coronavirus strain 211776/Imrehegy/2011/HU, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
26,"MT984583.1 Avian coronavirus strain 11518/Kiskunmajsa/2010/HU, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
27,"MZ325300.1 Avian coronavirus strain D2334/12/2/13/CI, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
28,"MZ325299.1 Avian coronavirus strain D2334/11/2/13/CI, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
29,"MZ325298.1 Avian coronavirus strain D2328/15/3/13/GH, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
30,"MZ325297.1 Avian coronavirus strain D2326/4/13/CM, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
31,"MZ325296.1 Avian coronavirus strain D2326/3/13/CM, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
32,"MN757859.1 Avian coronavirus isolate CK/CR/1160/16, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
33,"MN262644.1 Avian coronavirus strain CV10, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
34,"KY933090.1 Avian coronavirus strain L1148, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
35,"KY933089.1 Avian coronavirus strain 1148-A, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
36,"MW024789.1 Avian coronavirus IA1162/2020, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
37,"MW222189.1 Infectious bronchitis virus isolate GX-NN160421, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
38,"MN711790.1 Infectious bronchitis virus isolate GA/1472/2004, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
39,"MN566147.1 Infectious bronchitis virus isolate GA/1359/1994, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
40,"MN599049.1 Infectious bronchitis virus isolate GA/1476/2015, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
41,"MN548285.2 Infectious bronchitis virus strain CR88, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
42,"MN548289.1 Infectious bronchitis virus strain QX, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
43,"MN548288.1 Infectious bronchitis virus strain Italy02, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
44,"MN548287.1 Infectious bronchitis virus strain H120, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
45,"MN548286.1 Infectious bronchitis virus strain D1466, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
46,"NC_001451.1 Avian infectious bronchitis virus, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
47,"KX266757.1 Infectious bronchitis virus isolate 3575/08, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
48,"HQ850618.1 Infectious bronchitis virus isolate GX-YL9, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
49,"HQ848267.1 Infectious bronchitis virus isolate GX-YL5, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
50,"GQ504723.1 Infectious bronchitis virus strain Georgia 1998 Vaccine, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
51,"GQ504720.1 Infectious bronchitis virus strain Arkansas DPI, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
52,"FJ904721.1 Infectious bronchitis virus strain Mass41 1972, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
53,"FJ904720.1 Infectious bronchitis virus strain Mass41 1965, complete genome",Avian-CoV,Igacovirus,Gammacoronavirus,Gammacoronavirus
