Num,Accession ID,Lineage,Type
1,EPI_ISL_14466156,BA.5.5,Omicron BA.5
2,EPI_ISL_14466151,BA.5.5,Omicron BA.5
3,EPI_ISL_14470041,BA.5.2,Omicron BA.5
4,EPI_ISL_14470023,BA.5.2,Omicron BA.5
5,EPI_ISL_14467586,BF.1,Omicron BA.5
6,EPI_ISL_14467692,BA.5.1.9,Omicron BA.5
7,EPI_ISL_14474455,BA.5.2.1,Omicron BA.5
8,EPI_ISL_14474799,BA.5.5,Omicron BA.5
9,EPI_ISL_14474873,BA.5.5,Omicron BA.5
10,EPI_ISL_14475278,BF.28,Omicron BA.5
11,EPI_ISL_14469684,BA.2.12.1,Omicron BA.2
12,EPI_ISL_14480178,BA.5.1.23,Omicron BA.5
13,EPI_ISL_14477239,BA.5.5,Omicron BA.5
14,EPI_ISL_14476639,BA.5.2.1,Omicron BA.5
15,EPI_ISL_14482278,BA.5.2.1,Omicron BA.5
16,EPI_ISL_14485354,BA.5.2,Omicron BA.5
17,EPI_ISL_14484611,BF.13,Omicron BA.5
18,EPI_ISL_14483126,BA.4.6,Omicron BA.4
19,EPI_ISL_14486187,BA.5.1.10,Omicron BA.5
20,EPI_ISL_14479502,BA.2.3,Omicron BA.2
21,EPI_ISL_14494121,BE.1,Omicron BA.5
22,EPI_ISL_14495552,P.1.12,Gamma
23,EPI_ISL_14499938,BF.5,Omicron BA.5
24,EPI_ISL_14497643,BA.5.1,Omicron BA.5
25,EPI_ISL_14502211,BA.5.1.3,Omicron BA.5
26,EPI_ISL_14502927,BF.28,Omicron BA.5
27,EPI_ISL_14508600,BA.5.3.3,Omicron BA.5
28,EPI_ISL_14517335,BF.7,Omicron BA.5
29,EPI_ISL_14526709,BA.4.1,Omicron BA.4
30,EPI_ISL_14523598,BA.5.1,Omicron BA.5
31,EPI_ISL_14536950,BA.5.2,Omicron BA.5
32,EPI_ISL_14532517,BA.4.6,Omicron BA.4
33,EPI_ISL_14530427,BA.2.12.1,Omicron BA.2
34,EPI_ISL_14551027,BA.5.1,Omicron BA.5
35,EPI_ISL_14556108,BA.4.7,Omicron BA.4
36,EPI_ISL_14556136,BA.5.2,Omicron BA.5
37,EPI_ISL_14554312,BE.1,Omicron BA.5
38,EPI_ISL_14556602,BA.5.1.1,Omicron BA.5
39,EPI_ISL_14556500,BA.5.2.31,Omicron BA.5
40,EPI_ISL_14556458,BA.5.2.1,Omicron BA.5
41,EPI_ISL_14554624,BA.5.1,Omicron BA.5
42,EPI_ISL_14555969,BA.5.5,Omicron BA.5
43,EPI_ISL_14558015,BA.5.1.7,Omicron BA.5
44,EPI_ISL_14558964,BA.5.5,Omicron BA.5
45,EPI_ISL_14559448,BA.4.6,Omicron BA.4
46,EPI_ISL_14573089,BA.4.6,Omicron BA.4
47,EPI_ISL_14570779,BA.5.2,Omicron BA.5
48,EPI_ISL_14575164,BA.5.2.1,Omicron BA.5
49,EPI_ISL_14581734,BA.5.2,Omicron BA.5
50,EPI_ISL_14582113,BA.5.1.10,Omicron BA.5
51,EPI_ISL_14582832,BA.5.2.1,Omicron BA.5
52,EPI_ISL_14581549,BA.5.2,Omicron BA.5
53,EPI_ISL_14581470,BF.28,Omicron BA.5
54,EPI_ISL_14582611,BA.5.2,Omicron BA.5
55,EPI_ISL_14583184,BA.5.5,Omicron BA.5
56,EPI_ISL_14581395,BA.5.2.1,Omicron BA.5
57,EPI_ISL_14583005,BA.5.2,Omicron BA.5
58,EPI_ISL_14574935,BA.2.12.1,Omicron BA.2
59,EPI_ISL_14581508,BA.2.12.1,Omicron BA.2
60,EPI_ISL_14593962,AY.106,Delta
61,EPI_ISL_14593879,B.1.617.2,Delta
62,EPI_ISL_14594038,B.1.617.2,Delta
63,EPI_ISL_14585595,BA.2.75 (marker override based on Emerging Variants AA substitutions),Omicron BA.2
64,EPI_ISL_14595733,AY.122,Delta
65,EPI_ISL_14595714,B.1.617.2,Delta
66,EPI_ISL_14595742,B.1.617.2,Delta
67,EPI_ISL_14595677,AY.43,Delta
68,EPI_ISL_14595432,AY.120,Delta
